TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
,ILP Solve Time,4
,Rebalance Time,3

TIME STAMP:600
SYSTEM TIME: Thu Oct 18 21:28:51 2018
,Iteration Computation Time,8
,Number of vehicles available,1000
,Number of pending requests,773

,Average Computation Time,6.08333
,Maximum Computation Time,10
,Service Rate,43.3348
,Service Rate After Re-Balancing,76.4188
,Average Waiting Time,469.276
,Average Total Travel Delay,21.34
,Average In Car Travel Delay,-102.68
,Occupancy (Passengers/Vehicle),1.49317
,Unassigned Requests Found,424
,Unassigned Vehicles Found,320
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:630
SYSTEM TIME: Thu Oct 18 21:29:00 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,645

,Average Computation Time,6.15385
,Maximum Computation Time,10
,Service Rate,39.8551
,Service Rate After Re-Balancing,74.2944
,Average Waiting Time,474.067
,Average Total Travel Delay,23.5152
,Average In Car Travel Delay,-117.939
,Occupancy (Passengers/Vehicle),1.51375
,Unassigned Requests Found,325
,Unassigned Vehicles Found,310
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:700
SYSTEM TIME: Thu Oct 18 21:29:09 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,725

,Average Computation Time,6.21429
,Maximum Computation Time,10
,Service Rate,40.6158
,Service Rate After Re-Balancing,75.6232
,Average Waiting Time,462.023
,Average Total Travel Delay,23.4737
,Average In Car Travel Delay,-126.829
,Occupancy (Passengers/Vehicle),1.53267
,Unassigned Requests Found,399
,Unassigned Vehicles Found,288
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:730
SYSTEM TIME: Thu Oct 18 21:29:17 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,587

,Average Computation Time,6.2
,Maximum Computation Time,10
,Service Rate,38.6022
,Service Rate After Re-Balancing,73.8733
,Average Waiting Time,468.895
,Average Total Travel Delay,28.3333
,Average In Car Travel Delay,-146.844
,Occupancy (Passengers/Vehicle),1.55042
,Unassigned Requests Found,311
,Unassigned Vehicles Found,278
,ILP Solve Time,1
,Rebalance Time,3

TIME STAMP:800
SYSTEM TIME: Thu Oct 18 21:29:26 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,664

,Average Computation Time,6.25
,Maximum Computation Time,10
,Service Rate,39.6725
,Service Rate After Re-Balancing,75.2519
,Average Waiting Time,467.358
,Average Total Travel Delay,30.0862
,Average In Car Travel Delay,-165.81
,Occupancy (Passengers/Vehicle),1.56753
,Unassigned Requests Found,416
,Unassigned Vehicles Found,269
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:830
SYSTEM TIME: Thu Oct 18 21:29:33 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,491

,Average Computation Time,6.17647
,Maximum Computation Time,10
,Service Rate,37.5497
,Service Rate After Re-Balancing,72.6549
,Average Waiting Time,473.603
,Average Total Travel Delay,31.1866
,Average In Car Travel Delay,-184.843
,Occupancy (Passengers/Vehicle),1.58434
,Unassigned Requests Found,285
,Unassigned Vehicles Found,265
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:900
SYSTEM TIME: Thu Oct 18 21:29:41 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,620

,Average Computation Time,6.22222
,Maximum Computation Time,10
,Service Rate,38.1307
,Service Rate After Re-Balancing,74.0557
,Average Waiting Time,467.897
,Average Total Travel Delay,35.4091
,Average In Car Travel Delay,-193.714
,Occupancy (Passengers/Vehicle),1.59927
,Unassigned Requests Found,424
,Unassigned Vehicles Found,256
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:930
SYSTEM TIME: Thu Oct 18 21:29:48 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,459

,Average Computation Time,6.21053
,Maximum Computation Time,10
,Service Rate,36.3544
,Service Rate After Re-Balancing,71.8734
,Average Waiting Time,474.131
,Average Total Travel Delay,44.0811
,Average In Car Travel Delay,-202
,Occupancy (Passengers/Vehicle),1.61222
,Unassigned Requests Found,293
,Unassigned Vehicles Found,247
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1000
SYSTEM TIME: Thu Oct 18 21:29:57 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,616

,Average Computation Time,6.25
,Maximum Computation Time,10
,Service Rate,36.2141
,Service Rate After Re-Balancing,72.1581
,Average Waiting Time,468.386
,Average Total Travel Delay,45.7678
,Average In Car Travel Delay,-214.488
,Occupancy (Passengers/Vehicle),1.62279
,Unassigned Requests Found,426
,Unassigned Vehicles Found,238
,ILP Solve Time,0
